11, 5, [2383.91666666667, 47796.7206257445, 43141.1071628308, 28.8214640861051], [853.166666666667, 54786.2564458678, 43736.4846080899, 24.087818867946], 19172.537434834132, 22690.648388776717, 21921.474366223687
12, 5, [4494.63333333333, 33990.9250403703, 42357.8357071647, 32.058544697983], [853.166666666667, 54786.2564458678, 43736.4846080899, 24.087818867946], 19172.620768167464, 22066.892724088626, 21198.800239871052
13, 5, [4494.63333333333, 33990.9250403703, 42357.8357071647, 32.058544697983], [853.166666666667, 54786.2564458678, 43736.4846080899, 24.087818867946], 19172.620768167464, 22066.892724088626, 21198.800239871052
14, 5, [4402.63333333333, 34531.6403229445, 42293.4840852999, 32.2254338149876], [853.166666666667, 54786.2564458678, 43736.4846080899, 24.087818867946], 19172.537434834132, 22086.11925157994, 21215.076786325924
15, 5, [4402.63333333333, 34531.6403229445, 42293.4840852999, 32.2254338149876], [853.166666666667, 54786.2564458678, 43736.4846080899, 24.087818867946], 19172.537434834132, 22086.11925157994, 21215.076786325924
